,Q 4.1,Q 4.2,Q 4.4,Q 4.5,Q 4.6,Q 4.7,Q 5.1,Q 5.2,Q 5.3,Q 7.1,Q 7.2,Q 7.3,Q 8.4,Q 8.6,Q 8.8,Q 9.1,Q 12.1,Q 12.2
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
6,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
7,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,2,2,2
8,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2
9,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
14,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
15,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
21,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
22,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
23,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
24,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
25,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
26,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
27,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
28,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
29,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
30,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
31,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2
32,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
33,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
34,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
35,4,4,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2
36,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
37,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
38,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
39,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3
43,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
44,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
45,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
46,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,2,2,2
